NODCCODE,Scientificname,Commonname
7815050300,Guavina spp.,Guavinas
8111060000,Caproidae spp.,Boarfishes
8155040000,Mellitidae spp.,Sand Dollars
8500010100,Amphioxus spp.,Lancelet
8603010300,Petromyzon spp.,.
8603010301,Petromyzon marinus,Sea Lamprey
8603010400,Ichthyomyzon spp.,.
8603010404,Ichthyomyzon gagei,Southern Brook Lamprey
8705020000,Hexanchidae spp.,Cow Sharks
8705020100,Hexanchus spp.,.
8705020101,Hexanchus griseus,Bluntnose Sixgill Shark
8705020103,Hexanchus nakamurai,Bigeye Sixgill Shark
8705020300,Heptranchias spp.,.
8705020301,Heptranchias perlo,Sharpnose Sevengill Shark
8707000000,Carcharhiniformes spp.,Unidentified Ground Shark Species
8707010000,Rhincodontidae spp.,whale sharks
8707010100,Rhincodon spp.,Whale sharks
8707010101,Rhincodon typus,whale shark
8707030000,Odontaspididae spp.,.
8707030200,Carcharias spp.,.
8707030202,Carcharias taurus,Sand Tiger Shark
8707040000,Lamnidae spp.,.
8707040100,Carcharodon spp.,.
8707040101,Carcharodon carcharias,White Shark
8707040400,Alopias spp.,.
8707040401,Alopias vulpinus,Common Thresher Shark
8707040402,Alopias superciliosus,Bigeye Thresher
8707040500,Isurus spp.,Mako
8707040501,Isurus oxyrinchus,Shortfin Mako
8707040502,Isurus paucus,Longfin Mako
8707050000,Alopiidae spp.,Thesher Sharks 
8707100000,Ginglymostomatidae spp.,Nurse Sharks
8707100100,Ginglymostoma spp.,.
8707100101,Ginglymostoma cirratum,Nurse Shark
8707120000,Cetorhinidae spp.,Basking Shark
8707120100,Cetorhinus spp.,.
8707120101,Cetorhinus maximus,Basking Shark
8708010000,Scyliorhinidae spp.,.
8708010200,Galeus spp.,.
8708010201,Galeus arae,Marbled Cat Shark
8708010300,Scyliorhinus spp.,.
8708010304,Scyliorhinus retifer,Chain Dogfish
8708020000,Carcharhinidae spp.,.
8708020200,Galeocerdo spp.,.
8708020201,Galeocerdo cuvier,Tiger Shark
8708020300,Rhizoprionodon spp.,.
8708020301,Rhizoprionodon terraenovae,Atlantic Sharpnose Shark
8708020303,Rhizoprionodon porosus,Caribbean Sharpnose Shark
8708020500,Carcharhinus spp.,.
8708020501,Carcharhinus obscurus,Dusky Shark
8708020502,Carcharhinus leucas,Bull Shark
8708020503,Carcharhinus plumbeus,Sandbar Shark
8708020504,Carcharhinus acronotus,Blacknose Shark
8708020505,Carcharhinus altimus,Bignose Shark
8708020506,Carcharhinus falciformis,Silky Shark
8708020507,Carcharhinus limbatus,Blacktip Shark
8708020508,Carcharhinus longimanus,Oceanic Whitetip
8708020511,Carcharhinus perezii,Reef Shark
8708020512,Carcharhinus porosus,Smalltail Shark
8708020515,Carcharhinus galapagensis,Galapagos Shark
8708020530,Carcharhinus brevipinna,Spinner Shark
8708020531,Carcharhinus isodon,Finetooth Shark
8708020532,Carcharhinus signatus,Night Shark
8708020600,Prionace spp.,.
8708020601,Prionace glauca,Blue Shark
8708020800,Negaprion spp.,.
8708020801,Negaprion brevirostris,Lemon Shark
8708030000,Sphyrnidae spp.,.
8708030100,Sphyrna spp.,.
8708030101,Sphyrna tiburo,Bonnethead
