Code,Description
C,Corals: Hard
D,Detritus
E,Peat                                                                                                                         
F,"Mussel, not Perna viridis (Asian green mussel)"
H,Shell
M,Mud
N,None
O,Oysters
P,Sponge
R,Rocks
S,Sand
T,Tunicates
U,Unknown
V,Asian green mussel (Perna viridis)
